item,trial type,max time,text,Shuffle 1,survey,
2,instruct,user,This is the start of a new experiment.,off,,
0,survey,user,dss_personal,off,dss_personal.csv,
0,survey,user,environmental_behaviour,off,,
0,survey,user,locus_of_control,off,,
0,survey,user,autism_societal_stigma,off,aut_soc_stigma.csv,
0,survey,user,scaared,off,scaared_2020.csv,
0,survey,user,health_anxiety_inventory,off,health_anxiety_inventory.csv,
,,,,,,
